https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume BUSD,tradecount
1689033600000,2023-07-11,ADABUSD,0.2878,0.2939,0.2876,0.2927,20597945.2,5986986.52493,14076
1688947200000,2023-07-10,ADABUSD,0.2845,0.2927,0.2784,0.2878,31502332.6,8989571.9334,21798
1688860800000,2023-07-09,ADABUSD,0.2908,0.2918,0.2832,0.2846,19208199.7,5519055.07283,12337
1688774400000,2023-07-08,ADABUSD,0.2846,0.2931,0.2818,0.2907,24096704.8,6918136.50675,15173
1688688000000,2023-07-07,ADABUSD,0.2784,0.2855,0.2761,0.2846,23163575.5,6531560.13,16413
1688601600000,2023-07-06,ADABUSD,0.2842,0.2936,0.2762,0.2785,37412541.9,10651801.03817,29368
1688515200000,2023-07-05,ADABUSD,0.2925,0.2963,0.2797,0.2841,26396696.2,7591946.37498,20283
1688428800000,2023-07-04,ADABUSD,0.2966,0.3017,0.2894,0.2925,31847728.8,9415546.36663,24447
1688342400000,2023-07-03,ADABUSD,0.2917,0.2993,0.2902,0.2967,23947937.5,7045247.25286,18015
1688256000000,2023-07-02,ADABUSD,0.2925,0.294,0.2853,0.2916,24974057.1,7234024.028,19740
1688169600000,2023-07-01,ADABUSD,0.2869,0.2934,0.2812,0.2924,24575290.3,7083368.86206,17792
1688083200000,2023-06-30,ADABUSD,0.2752,0.2996,0.2676,0.2869,86965212.7,24821389.05348,65995
1687996800000,2023-06-29,ADABUSD,0.2669,0.2782,0.2665,0.2753,30648835.8,8394560.65192,20967
1687910400000,2023-06-28,ADABUSD,0.2869,0.2869,0.26,0.2669,34308473.1,9385783.00605,27551
1687824000000,2023-06-27,ADABUSD,0.2806,0.2896,0.278,0.2867,23165188.4,6561969.9279,19472
1687737600000,2023-06-26,ADABUSD,0.2922,0.2923,0.277,0.2805,25992091.7,7428834.10094,26016
1687651200000,2023-06-25,ADABUSD,0.2895,0.3049,0.2886,0.2922,31137674.5,9210876.93156,25611
1687564800000,2023-06-24,ADABUSD,0.2967,0.2975,0.2842,0.2894,28131319.6,8218741.5588,22763
1687478400000,2023-06-23,ADABUSD,0.29,0.3027,0.287,0.2966,32971444.8,9739971.70379,29696
1687392000000,2023-06-22,ADABUSD,0.2862,0.3049,0.2856,0.2899,52446563.1,15527070.39186,38891
1687305600000,2023-06-21,ADABUSD,0.2704,0.2889,0.2687,0.2862,51822199.9,14513628.24855,36783
1687219200000,2023-06-20,ADABUSD,0.2633,0.2706,0.2523,0.2704,31840893.9,8349656.17137,24483
1687132800000,2023-06-19,ADABUSD,0.2609,0.2635,0.2569,0.2633,21262088.1,5537562.52226,17518
1687046400000,2023-06-18,ADABUSD,0.2666,0.2689,0.2589,0.261,20578077.8,5452424.04332,16096
1686960000000,2023-06-17,ADABUSD,0.263,0.2734,0.2606,0.2667,25714945.6,6893285.95137,20433
1686873600000,2023-06-16,ADABUSD,0.2618,0.2672,0.2533,0.2631,27074471.1,7056422.08678,20355
1686787200000,2023-06-15,ADABUSD,0.2634,0.266,0.2523,0.2619,41228983.0,10680697.18028,30562
1686700800000,2023-06-14,ADABUSD,0.2752,0.2774,0.2565,0.2634,38820171.1,10456044.88611,32818
1686614400000,2023-06-13,ADABUSD,0.275,0.2894,0.2684,0.2752,46292639.1,12868503.75483,41547
1686528000000,2023-06-12,ADABUSD,0.2722,0.287,0.2652,0.2748,62579313.7,17342939.52537,51774
1686441600000,2023-06-11,ADABUSD,0.2751,0.28,0.2593,0.272,85769747.0,22991489.98692,69232
1686355200000,2023-06-10,ADABUSD,0.2951,0.2952,0.2202,0.2751,162886041.3,41703754.91209,165138
1686268800000,2023-06-09,ADABUSD,0.323,0.324,0.2902,0.2951,69152314.7,21352257.5489,57587
1686182400000,2023-06-08,ADABUSD,0.3224,0.3308,0.3201,0.323,27236708.4,8856559.20536,25904
1686096000000,2023-06-07,ADABUSD,0.3532,0.3532,0.3178,0.3223,35285993.1,11708855.59396,39088
1686009600000,2023-06-06,ADABUSD,0.3516,0.357,0.3369,0.3531,24357436.9,8530994.15123,32027
1685923200000,2023-06-05,ADABUSD,0.3774,0.3791,0.3472,0.3517,25448498.8,9150109.83729,39390
1685836800000,2023-06-04,ADABUSD,0.376,0.3819,0.3748,0.3774,12466554.4,4736234.69208,13181
1685750400000,2023-06-03,ADABUSD,0.3782,0.3783,0.3729,0.376,7400396.5,2781786.25494,9532
1685664000000,2023-06-02,ADABUSD,0.3645,0.3794,0.362,0.3782,17992051.3,6734323.78509,22996
1685577600000,2023-06-01,ADABUSD,0.3745,0.3758,0.3609,0.3645,17396693.1,6355685.8617,22015
1685491200000,2023-05-31,ADABUSD,0.3779,0.3806,0.3703,0.3745,13377883.8,5012657.93317,19730
1685404800000,2023-05-30,ADABUSD,0.3789,0.3835,0.3748,0.3779,11910191.8,4513138.49162,17787
1685318400000,2023-05-29,ADABUSD,0.3829,0.3862,0.3756,0.3789,13281894.7,5044349.51382,20032
1685232000000,2023-05-28,ADABUSD,0.3668,0.3847,0.3662,0.3829,24830216.3,9319275.82426,31807
1685145600000,2023-05-27,ADABUSD,0.3629,0.3673,0.3609,0.3669,7279170.3,2650963.09061,9553
1685059200000,2023-05-26,ADABUSD,0.3583,0.3668,0.3537,0.3627,15072403.7,5426237.96092,19145
1684972800000,2023-05-25,ADABUSD,0.3641,0.3648,0.3552,0.3582,14482353.4,5190789.6979,19625
1684886400000,2023-05-24,ADABUSD,0.3704,0.3705,0.3604,0.364,15148159.1,5522532.74018,22188
1684800000000,2023-05-23,ADABUSD,0.368,0.3755,0.366,0.3705,10321315.8,3828723.68178,14705
1684713600000,2023-05-22,ADABUSD,0.3604,0.3741,0.3563,0.3681,17690143.0,6496135.90403,24932
1684627200000,2023-05-21,ADABUSD,0.3664,0.3676,0.3569,0.3603,9281389.7,3355390.73262,13653
1684540800000,2023-05-20,ADABUSD,0.3682,0.3684,0.3633,0.3662,8679696.9,3170146.03901,10348
1684454400000,2023-05-19,ADABUSD,0.3714,0.3728,0.3661,0.3682,10450592.4,3863562.67444,15230
1684368000000,2023-05-18,ADABUSD,0.3757,0.3802,0.3659,0.3714,25696015.6,9626209.26687,30994
1684281600000,2023-05-17,ADABUSD,0.3684,0.3806,0.3646,0.3756,25544927.1,9503109.66526,31438
1684195200000,2023-05-16,ADABUSD,0.3669,0.3704,0.3615,0.3684,18163814.1,6652735.79626,22992
1684108800000,2023-05-15,ADABUSD,0.371,0.3759,0.3658,0.3669,19301920.6,7164659.28321,23780
1684022400000,2023-05-14,ADABUSD,0.3647,0.3731,0.3627,0.371,11182687.8,4120610.82143,14361
1683936000000,2023-05-13,ADABUSD,0.3706,0.3711,0.3623,0.3646,11842554.4,4330748.075,16093
1683849600000,2023-05-12,ADABUSD,0.36,0.3709,0.3534,0.3703,35153087.6,12713323.11286,43930
